Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
Agricultural land (sq. km),AG.LND.AGRI.K2,Afghanistan,AFG,380400,380300,380300,379340,378130,377630,377570,377950,378680,377640,377940,377950,377900,378840,379280,379170,379100,379140,379160,379160,379170,379150,379140,379100,379100,379100,379100,379100,380100,380100,383130,383130,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Albania,ALB,11210,11270,11270,11260,11260,11270,11310,11350,11390,11450,11440,11390,11400,11210,11220,10770,11200,11190,11810,12013,12013,12010,12013,11873,11742.9,11743,11817,11742.81,11740.81,11740,11655.55,11363.3,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Algeria,DZA,386760,386220,388650,388620,396400,396490,396360,396900,398260,397310,400210,401090,398550,399057,411450,412110,411810,412520,413090,413800,413740,413880,413981.9,414316.35,414310,414564,413602,413351.408,413388.496,413160.71,413160.71,413160.71,..
Agricultural land (sq. km),AG.LND.AGRI.K2,American Samoa,ASM,19.3,19.64,19.98,20.32,20.66,21,21.34,21.68,22.02,22.36,22.7,23,23.3,23.6,23.9,24.2,24.5,24.8,25.1,25.4,25.7,26,26.3,26.6,26.9,27.2,27.5,27.8,28.1,28.4,28.7,29,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Andorra,AND,230,230,230,230,230,230,230,230,230,230,230,227.5,228.5,228.6,228.1,218,217.8,207.7,207.6,207.7,197.7,197.7,187.6,188.1,188,188.1,188.2,188.2,188.34,188.001,187.773,187.562,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Angola,AGO,444560,444830,445110,445100,445100,444900,444470,444500,445130,445670,445230,444150,444380,444990,443100,441830,441370,442450,441950,446300,448500,453160,453030,454880,456740,457890,458240,457720,457920,458770,458920,458970,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Antigua and Barbuda,ATG,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Argentina,ARG,1275650,1276600,1277550,1278500,1279480,1280450,1281420,1282350,1283300,1284120,1285100,1286060,1287100,1291033,1294966,1299209,1301389,1299684,1270469,1243284,1262679,1253184,1247419,1229374,1211889,1207394,1189899,1176404,1159577.597,1165577.597,1177577.597,1179577.597,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Armenia,ARM,11700,11700,11700,11810,12000,12440,13060,13320,13280,13230,13230,13280,13910,14440,15050,16050,17564,17519,17488,17463,17350,16981,16830,16830,16807,16767,16768,16761,16773,16770,16760,16748.2,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Aruba,ABW,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,..
