Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
Cereal yield (kg per hectare),AG.YLD.CREL.KG,Afghanistan,AFG,1200.6,1160.4,1097.8,1132.9,1140.4,1214.5,1204.4,1348.8,1388,1285.7,806.3,1006.7,1669.8,1458,1334.8,1790.4,1551.7,1915.3,1455.4,2040.7,2011.1,1659.9,2029.6,2048.5,2017.5,2132.2,1980.4,2022.5,2162,2113.4,1979.9,2154.7,..
Cereal yield (kg per hectare),AG.YLD.CREL.KG,Albania,ALB,2794.4,2071.9,2158.6,2685,2460.9,2841.5,2450.9,2833.3,2872.1,2798.1,3175.1,3030.8,3291.9,3185.7,3466.3,3462.1,3602.6,3728.4,4081.2,4315.3,4761.8,4750.7,4883.8,4949.8,4892.6,4873.8,4716.4,4813,4840.5,5038.2,5209.2,5144.7,..
Cereal yield (kg per hectare),AG.YLD.CREL.KG,Algeria,DZA,687.7,1114.6,943.3,741.7,749.4,829.5,1337.8,779.8,846.3,1069.9,883.3,1106.9,1058.6,1470.3,1344.1,1500.8,1503.7,1253.5,1034,1653.9,1474.3,1643.3,1677.6,1813.1,1369.2,1400.2,1020.4,990.3,1952,1767.4,1520.4,1433.7,..
Cereal yield (kg per hectare),AG.YLD.CREL.KG,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Cereal yield (kg per hectare),AG.YLD.CREL.KG,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Cereal yield (kg per hectare),AG.YLD.CREL.KG,Angola,AGO,320.9,417.5,397.1,268,298.4,401.5,653.1,567.4,701.6,620.4,564.4,585.4,627.2,646.1,491.7,583.4,445.9,464.3,652.7,571.4,629.3,662.4,552,814.4,888.2,982.4,865.4,806.2,941.4,958.8,992.5,1000.3,..
Cereal yield (kg per hectare),AG.YLD.CREL.KG,Antigua and Barbuda,ATG,2381,1833.3,1713.6,1690.1,1668.4,1607.1,1639,1634.2,1631.8,1631.7,1600,1614.9,1562.5,1571.4,1578.9,1597.4,1625,1601.4,1619,1590.2,1585.9,1597.4,1595.3,1593.1,1583,1579.6,1843.2,2030.7,2205.9,2324,3800,2094.1,..
Cereal yield (kg per hectare),AG.YLD.CREL.KG,Argentina,ARG,2250.8,2433.1,2928.6,3054.5,2759.8,2900.2,2715.1,3010.7,3812,3335.6,3461.8,3398.6,3275.7,3308.7,3658.8,4075.8,3707.6,4294,4116.5,3249.3,4876.2,4596.3,4162.4,4795.6,4827.3,4779.1,5203.4,5404.6,4671.4,5474.8,5213.1,5193.2,..
Cereal yield (kg per hectare),AG.YLD.CREL.KG,Armenia,ARM,..,..,1842.8,1688.9,1439.9,1859,1877.2,1365.8,1768.4,1776.5,1383,1878.7,2204.7,1567.1,2280.8,1938.7,1323.9,2592.6,2405,2250.3,2068.2,2789,2650.5,3072.5,3181.6,3132.1,3076.1,1975.1,2623.6,1690.6,2055.8,2243.4,..
Cereal yield (kg per hectare),AG.YLD.CREL.KG,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Cereal yield (kg per hectare),AG.YLD.CREL.KG,Australia,AUS,1716.1,1691,1666.2,1833.1,2015.1,1270,1873.5,2175.2,1928.7,1992.3,2107.3,1959.6,2197.5,1020.7,2116.4,1694.6,2111.7,981.3,1332.7,1651.4,1661.5,2097.5,2231.6,1936.1,2137.9,2027.3,2075.2,2674.2,2035.8,1769,1650.7,2548,..
Cereal yield (kg per hectare),AG.YLD.CREL.KG,Austria,AUT,5577.3,5456.5,5152.7,5088.8,5391.7,5502,5391,5900.9,5675.3,5926.9,5403.9,5856.2,5831,5255.4,6495.5,6133.1,5721.8,5844.1,6807.3,6149.5,5903.1,7056.7,6002.9,5846.8,7046.7,6198.1,7246.4,6260.6,6145.8,6954.3,7386.4,7112.4,..
Cereal yield (kg per hectare),AG.YLD.CREL.KG,Azerbaijan,AZE,..,..,2113.9,1617.9,1622.7,1507,1608.4,1669.4,1581.1,2080,2335.2,2600.7,2623.2,2604.1,2588.8,2593.1,2599.3,2667.4,2741.5,2606.7,2020.6,2484.4,2659.7,2692.3,2343.6,3083.6,3005.1,2942.2,3013.7,3239,3227.3,3297.4,..
