Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Aruba,ABW,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.355,2.745,,78.185,1.16,3.95,3.185,2.71,2.485,1.375,1.345,0.7,3.855,
Africa Eastern and Southern,AFE,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,,5.183363336,5.705553247,6.465653945,7.578797137,8.030913502,8.991432837,9.967467902,10.4448912,10.76474323,11.85112606,13.47309748,14.65024553,15.01074234,15.42910259,16.17505074,16.67295263,16.62517583,16.92351318,18.69857072,21.39387026,23.73100473,22.94841846,19.13406503,19.00237092,18.29452046,17.37907591,16.33129856,18.40951596,17.51793601,17.55330329,17.04534896,16.68016601,17.81422271,16.91510831,16.19354426,18.66745768,18.45216476,16.75144327,16.87597332,16.22648254,16.73994447,19.22718086,15.59762719,16.31873574,14.18306471,16.4345763,17.03762576,17.17571846,17.03274086,18.38024138,18.79823538,18.54803901,18.98148172,19.90995366,19.20321931,21.07320545,24.19028706,23.67245415,24.69891591,29.34151559,28.8215847,
Afghanistan,AFG,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,,0.1437908497,0.1428571429,0.1419354839,0.141025641,0.141025641,0.191448628,1.274859765,1.912289648,2.162849873,2.465057179,2.594936709,3.680151707,3.109987358,4.285714286,4.599747155,5.592414665,6.855372946,6.784955752,6.288116308,6.46346397,5.778887484,6.672945638,7.152970923,9.178255373,9.224020228,8.505689001,9.98988622,7.04551201,7.029077118,5.625790139,6.144121365,5.790139064,5.112474438,,,0.6538511835,0.6506180872,0.9024107258,0.65333856,0.6507874528,2.394897826,3.194390466,3.478546063,4.243778147,3.814784113,3.190854503,2.101268925,1.851684629,1.887862184,1.777859618,3.827005519,2.377852375,4.882714194,10.16611247,13.32449195,13.6801462,20.4525289,17.35222864,10.9725,8.714494827,5.202572487,
Africa Western and Central,AFW,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,,0.5020686844,0.5276532744,0.6788837397,0.6506084863,0.7895963487,1.00338819,1.234700844,1.10491453,1.128666382,1.43286369,1.508896358,1.827613678,1.915830292,2.533774144,3.149798494,3.564197996,4.255210927,3.769091867,4.380851229,4.798233516,5.903556974,5.490621396,6.539714342,6.940080433,6.184069371,6.225121368,5.886652497,6.920546516,7.338521128,7.706594129,7.914817543,8.138479326,8.465479354,6.645177927,5.35357708,5.369891763,5.816391797,5.966815724,6.141052645,5.832046092,5.971987348,5.953535187,6.451521658,6.281846464,6.629804428,8.554399303,5.631695264,6.100913512,6.189579391,9.802450541,6.633014325,8.981645912,9.202907447,9.201659529,9.967237011,12.12902813,15.62048881,14.99220456,16.81563548,17.08259957,15.44330388,
Angola,AGO,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,,0.3745318352,0.3703703704,0.5147058824,0.7636363636,1.444043321,1.857142857,2.367491166,2.657342657,3.620689655,3.896551724,8.620689655,7.689655172,7.379310345,5.206896552,1.413793103,0.724137931,10.89655172,8.103448276,4.724137931,5.793103448,4.172413793,1.724137931,2.965517241,2.410689655,7.014827586,4.137931034,3.551724138,5.485862069,8.138275862,3.275862069,2.338983051,3.033333333,2.666666667,3.333333333,2.666666667,2,0.6666666667,1.133333333,1.133333333,0.4666666667,,1.659032258,1.788787879,4.501515152,2.260606061,3.66,3.305,8.258823529,5.47225,8.229285714,11.98382979,8.876048936,9.369120743,9.056087824,7.694993171,6.635911726,9.773157698,7.103552361,6.652424016,7.849204545,5.606854644,
Albania,ALB,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,,14.58796296,11.9266055,12.04545455,14.4469526,17.39130435,20,31.76229508,74,70.58823529,84.64491363,101.509434,102.962963,106.0218978,114.7217235,111.0124334,125.2173913,135.6896552,171.35506,168.2675815,160.1709402,138.4353741,179.9660441,174.3633277,159.5925297,159.762309,163.4974533,161.0169492,163.559322,182.9896907,176.1658031,54.15224913,40.65743945,31.00519931,25.59792028,19.06412478,11.26516464,8.996539792,43.32755633,18.37088388,32.35294118,32.35294118,97.58477509,99.31956747,101.3073356,112.375316,85.80246575,88.4199654,77.3097377,90.37835796,85.02392971,97.43427653,93.0615571,88.17109058,88.38580247,107.831247,126.1384814,99.80859477,66.58507621,94.43932787,101.4281855,,
Andorra,AND,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,,,,,,,11.03068519,11.53742232,13.65490413,14.51773515,16.04701825,,20.57990659,20.51434574,21.02363636,22.80880103,24.74864175,24.06386895,25.83992835,29.35440663,32.8197215,33.56886389,35.89135377,39.64835982,44.20952587,49.92427565,53.76298617,54.26182051,54.55498438,51.2220055,53.10479194,50.30006114,50.63802916,53.63746619,48.66139989,49.19168257,50.25633935,51.1764199,52.6940283,55.22137768,57.13846343,62.64308731,65.15187216,54.02687409,60.35309316,59.64112578,59.97491226,56.6244323,55.31516495,53.3134751,52.37359557,55.62901591,52.23000946,53.71427252,51.19807487,53.69344946,51.9495494,56.76192508,55.99424599,55.59358457,54.60976844,55.09259812,
United Arab Emirates,ARE,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,,,,,,,,,,,,,79.57142857,66.25,79.88888889,81.81818182,100,75,126.1666667,291.6666667,190.875,192.3684211,211.6111111,199.7826087,113.9583333,143.3461538,49.65517241,107.5862069,186.2068966,417.9310345,357.1428571,499.1428571,586.8421053,692.5,700,744.1860465,700,717.7777778,983.3333333,841.8604651,585,492.9577465,644.8,755.625,767.6190476,667.0588235,834.3873518,940.5829596,798.6434109,623.0460922,737.3517787,900,848.2479784,1033.866667,629.1565909,714.9272109,708.5008989,708.5008989,745.3496454,631.8294589,643.4344898,626.8049702,
Argentina,ARG,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,,0.8733128999,0.662721585,1.075510204,1.475,1.979375397,2.432802666,3.064321203,2.837029894,3.317929683,3.61100278,3.182137108,3.539314309,3.400310445,3.05197708,2.438038248,3.146908564,2.973984391,4.26406754,5.154416135,4.556558767,3.784966064,4.165528011,4.603550756,6.127498357,6.255530335,5.786745281,6.39740903,6.163006789,5.783906309,6.227657573,6.270614693,9.266380437,10.92971365,17.11237869,19.35805202,31.42731148,29.63396779,28.27711942,29.91064943,31.22225036,31.0672169,30.2339387,40.24077886,43.85640239,35.4391328,40.56342303,48.52169399,34.84410559,22.8523631,39.15801606,41.88427634,34.64067496,36.25234506,35.18117285,26.50650585,40.14417006,41.06520444,47.02657018,50.86975873,55.15937787,62.17919097,
