Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Afghanistan,AFG,11630.79506,11899.99328,11548.26269,11678.75561,11733.04832,12181.31843,13231.10066,14216.88009,15063.73502,15980.73034,14205.32527,12604.75975,15255.39353,15961.0327,15572.01238,16635.76076,17264.16633,18218.84691,21349.18799,24313.53007,28585.90265,32446.46096,30928.57237,30430.30008,31165.8158,31619.07371,30864.98363,31750.55044,32580.49106,32736.76917,31119.04539,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Albania,ALB,11181.07427,8824.705329,6777.74169,6747.458751,7560.565213,7404.398074,7120.070576,6373.574877,6621.280379,7836.93328,8163.977582,8122.836896,8759.443411,9167.315225,9246.27134,9016.941954,8920.780645,8990.758036,8733.156627,8799.864918,9243.210309,9623.607956,9070.545303,9298.28975,9738.800297,9408.765344,9191.743023,9924.274102,9671.388481,9196.36286,8304.29494,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Algeria,DZA,122219.4894,125898.2318,126550.6264,134958.2579,137206.0895,143656.5723,147141.9815,146430.5721,148305.1158,152598.5186,161798.7973,159166.6551,165592.4705,178930.5663,182785.5452,190102.764,197745.7365,200976.5808,206120.0102,208060.3925,210955.5444,216395.9083,234851.8305,239618.2599,252331.6686,261745.2952,262948.8019,265628.7808,274181.7018,279200.6234,266702.6795,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Andorra,AND,430.703269,432.465582,434.227895,439.654209,437.752522,457.834835,493.417862,510.680888,542.599915,570.854941,588.117968,592.750006,604.710044,613.006082,643.28612,662.574159,637.875045,635.159931,639.772817,622.401703,627.01459,602.068676,599.106762,588.816848,574.862934,579.22902,585.850664,585.144308,617.413952,605.715596,577.573639,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Angola,AGO,43185.60921,43616.83929,44440.62308,47376.69587,50331.52915,53476.45354,54939.69209,55825.86603,60109.53708,59029.60883,57982.70087,58084.77197,60758.93298,66179.73478,67964.75818,67766.24188,66733.4014,71292.13462,73853.17674,74968.24456,78893.67568,80306.80869,78561.5615,82325.9083,83628.13621,88673.04141,86726.86873,82023.70755,74848.14556,78672.38408,70781.0562,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Antigua and Barbuda,ATG,358.408496,370.527998,375.6562,387.839902,399.843404,418.314406,454.952501,485.916496,522.181692,553.953387,584.648482,614.649387,647.976092,693.814297,720.617202,749.459707,808.61563,867.144654,913.476977,976.4012,1004.970423,1006.705256,1031.904489,1046.077422,1061.010555,1085.816188,1123.550637,1150.138886,1185.478236,1211.480385,1203.631334,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Argentina,ARG,249188.7612,253691.6131,258597.7407,259460.8354,263189.7417,266004.086,275749.709,280720.3822,286322.0268,292407.6634,294271.3913,288040.6186,284403.3884,306433.5855,322315.2629,325978.7317,340578.7653,352851.0732,357380.4391,336630.902,342496.5143,352870.3484,357872.7655,366978.6016,365636.2677,372415.2067,375694.4541,379420.2746,378187.3624,374523.504,361433.0173,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Armenia,ARM,24389.02825,24991.99478,14681.66629,8519.598427,5998.136665,6567.631038,5479.595003,6176.068167,6141.294431,5607.687095,5990.512959,6101.5304,5773.022041,6201.786082,6592.301523,7316.871064,7717.00474,8366.146581,8886.002523,7743.792465,7561.591307,8203.359102,9199.713496,9141.888191,9132.807486,9155.78308,9415.287058,9251.278735,9443.729713,9874.86109,10422.04117,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Australia,AUS,490531.2507,491238.7818,492143.4511,494326.0775,500142.7164,508464.1725,508246.9459,515795.8791,544400.7258,581899.3874,606860.8124,635529.9917,630234.9976,550563.2058,608925.6889,571056.9014,613749.9371,617773.4563,590310.8141,605111.9367,589473.4613,690001.8173,690401.593,604285.6676,621420.4289,622092.6414,600642.7642,647518.2719,642275.8577,613604.7013,571903.1199,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Austria,AUT,76630.27662,80905.84478,75090.78012,75015.36331,75088.09018,77571.74658,81297.14214,80328.48276,80294.93242,78470.02491,78694.10972,83001.77734,84500.38127,89432.43453,90322.80678,90356.77091,88152.69679,85204.26989,84953.81617,77767.40594,83550.95772,81738.65126,78292.56689,78909.03381,75143.18762,76429.62374,76780.91177,78699.13623,75582.15688,76622.88544,71017.8287,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Azerbaijan,AZE,75481.47959,73080.70729,82405.52268,61846.42011,42455.36555,41571.85554,36089.3664,35645.76686,36163.14703,36436.20579,38178.85835,37597.10652,37660.28458,40371.75494,40448.12001,43537.95337,45921.96687,45085.84177,49560.73027,45422.99777,44320.75057,46785.0029,49834.23202,51037.92334,52262.55666,52141.63798,52487.77721,51758.38444,53176.47097,56536.8442,55351.99383,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,"Bahamas, The",BHS,2183.995157,2256.471931,2126.914606,2001.046481,2026.671155,2109.49793,2087.94503,1889.77293,2289.107831,2334.514631,2319.424631,2244.630656,2285.785381,2333.605506,2345.104731,2196.805957,2152.810341,2188.303625,2259.49961,2282.180294,2254.796278,2482.016645,2685.184211,3111.966577,2815.829643,2513.101709,2357.871443,2502.934277,3123.026611,2957.747745,2801.144379,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Bahrain,BHR,15950.83482,15591.26618,17788.67223,18782.68798,19235.98034,19948.40219,21196.94787,22198.17836,23956.03524,24540.66822,25623.79391,26452.33222,27655.51593,28717.68894,28963.98535,32238.91256,34713.68845,35914.54384,38404.86883,38946.46292,40906.21441,41607.08671,43195.32451,46013.64861,48106.69701,48874.34031,49459.0278,50342.13908,51257.81097,54194.74915,54151.41004,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Bangladesh,BGD,91841.25556,92040.68457,94104.60178,95468.91619,98031.6061,103119.03,103595.5435,105881.3293,105905.4049,110079.9403,111593.3328,117270.5563,120949.7469,122886.8271,124837.0782,129652.4611,135192.7141,138288.6794,146770.9765,150700.7286,158531.7681,164267.9666,169101.1582,174185.1534,179287.1507,187771.298,195047.4195,205028.6288,214432.3367,212143.1483,206570.3527,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Barbados,BRB,3128.995934,3163.307404,3127.167574,3111.629744,3204.248614,3235.196917,3284.230036,3380.509756,3460.962509,3543.451862,3533.327615,3558.821433,3539.491551,3583.974669,3629.604287,3665.691605,3694.570334,3723.246463,3991.179991,3979.23662,3874.084949,3926.352478,3896.791006,3885.431835,3740.207364,3742.935393,3783.217854,3693.384915,3796.373576,3710.537737,3656.467698,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Belarus,BLR,142017.9433,136780.125,122060.461,109295.1971,96176.95738,88165.42932,88892.90977,89303.99177,87347.71174,84949.16393,82356.8548,80878.21666,80365.02168,81461.13375,85337.90331,86179.88216,89398.13463,88182.57527,92444.42971,89588.69091,94199.51744,91275.39051,92831.39655,93419.06847,92626.09993,88193.48911,87316.84186,88971.77819,91880.30552,90320.04535,87868.32147,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Belgium,BEL,130784.8565,135699.4541,133745.9789,131548.6404,136905.9888,137069.9908,142423.0189,139239.0696,142002.2624,138153.18,138266.4483,138694.356,131373.8147,134760.5446,132641.1624,129912.637,125999.4899,121215.719,123934.9372,117422.2366,124908.4666,113152.4764,111928.5141,112869.6307,106749.5809,111403.0469,110335.3227,108193.7955,108952.4335,108086.3373,100063.4878,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Belize,BLZ,6521.858891,6737.317745,6826.438498,6952.805751,7071.761405,5975.411293,4834.334275,3866.624457,2797.771439,1722.876121,702.732203,786.208167,840.116831,930.381295,761.923658,819.656522,898.636624,1001.135393,1009.355262,1173.361731,1214.451168,1305.203154,1171.634439,1261.360425,1248.729511,1449.138697,1440.882054,1441.651512,1427.523569,1602.171827,1573.319685,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Benin,BEN,4047.791367,4152.957092,4236.927917,4284.171642,4547.052866,4340.010491,5838.4686,6303.180909,6533.941518,6542.238627,7029.108436,6504.47734,7531.983943,7495.345947,7588.95435,8615.392754,8910.462058,9650.516163,9403.691268,10032.58657,10475.73048,10546.27121,10526.28664,11162.52237,11694.9976,12117.32083,13818.34967,13973.67292,15267.36586,15622.04121,16190.53196,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Bermuda,BMU,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Bhutan,BTN,862.080394,864.032592,850.733089,822.783787,852.104085,949.913383,982.937004,1064.628126,1056.688947,1085.230769,1057.92629,995.328449,1032.881207,998.826165,941.733824,1104.700982,1088.990994,1104.041005,1049.754216,1067.412828,1163.286839,1412.645757,1496.462975,1578.225693,1649.68331,1661.129528,1856.760403,1945.742577,2074.163352,2052.155026,1630.8557,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Bolivia,BOL,30871.86234,31994.458,32804.22896,31545.70221,30711.57897,29285.28193,28891.408,30899.10247,30921.74694,31381.30971,31098.26178,30738.13603,33593.95508,34000.25182,36843.05937,38933.7704,39481.57129,41092.33958,42296.10448,43240.46717,48348.32776,48361.77577,50100.33217,52023.63558,52832.12158,54381.51228,56748.87449,56810.3186,56831.15371,58309.83432,55203.08943,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Bosnia and Herzegovina,BIH,30258.58061,27538.14675,20220.60919,16764.39862,6373.368853,6284.221368,7324.343731,12228.23353,14994.58205,14993.21084,18656.89406,18365.79569,18520.86499,19027.10305,20107.51487,20874.0118,22744.00246,23859.8227,25968.29171,26043.30724,26070.97531,29183.88612,27398.42322,27191.8729,24689.43736,24906.99761,27490.28619,27759.41257,27771.20464,26218.11502,26053.3501,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Botswana,BWA,12787.36293,12196.46453,12435.64723,12088.77213,12323.36373,13220.61381,14572.83308,14160.50625,13801.79392,13835.25978,13640.71335,15523.87065,15862.28235,8736.279155,9318.205556,10725.35266,12545.10506,10799.22417,19528.72697,10454.72718,20889.94268,25747.70982,13041.85436,13990.227,12708.58574,12082.93249,10972.09654,14735.6943,13322.30266,10618.37622,12374.76398,..,..
