Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Aruba,ABW,"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",ER.H2O.FWAG.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",ER.H2O.FWAG.ZS,,,,,,,,,,,60,58.73140172,57.51533742,56.34861007,68.73614191,68.22558459,67.93248445,67.65651682,67.39622219,67.15030227,81.24193827,81.1726538,81.1070524,81.04484798,97.50270887,97.24387907,97.05478553,95.03158468,94.61883745,94.16763717,84.91390894,84.41453186,83.50807278,83.06264514,82.25970266,81.2753025,80.88136524,80.49730634,80.12596743,79.758553,79.30583887,79.36483754,80.84503351,80.73626775,80.45901254,80.13995347,79.87731914,79.80545795,79.62710595,79.4896985,79.35936714,79.3828259,84.06309444,84.3172221,83.63327026,82.96475049,83.35974535,83.22651874,82.85207669,83.35041822,83.60895919,,
Afghanistan,AFG,"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",ER.H2O.FWAG.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.00004213,98.97282311,98.944452,98.91485409,98.88394802,98.85164512,98.81784851,98.78245211,98.7453396,98.70638307,98.66544157,98.62235943,98.61427973,98.60620134,98.51857617,98.43110659,98.3437922,98.25663257,98.1696273,98.1696273,98.1696273,98.1696273,98.1696273,98.1696273,98.1696273,98.1696273,98.1696273,98.1696273,98.1696273,98.1696273,98.1696273,98.1696273,98.1696273,98.1696273,,
Africa Western and Central,AFW,"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",ER.H2O.FWAG.ZS,,,,,,,,,,,52,53.46002892,54.72790428,55.83921782,56.8212824,57.69540693,58.47846013,59.1839698,59.8229109,60.40428062,74.3107105,77.29539203,79.6894229,81.3174224,82.62469676,82.18735657,82.08928469,76.72303314,75.87618648,74.89788542,74.01866278,73.18847435,72.48619813,72.03775794,71.63027452,71.02300521,70.46591657,69.91010522,69.42597442,68.67448225,68.03020169,67.7548236,67.23933822,66.27529953,65.3399198,64.51566102,64.43063999,64.34444984,64.26605839,64.19529976,64.13107712,64.45003124,64.76604366,64.7972222,64.84274718,64.9815612,65.0102102,64.82247456,66.36965268,66.54405314,66.54405314,,
Angola,AGO,"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",ER.H2O.FWAG.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.04166667,71.71314741,67.59640299,63.67626274,59.93897123,56.37202698,52.96404276,49.70462416,46.58426369,43.59424816,40.72657744,37.97389295,35.32941465,32.78688525,30.19462635,27.70393928,25.30896893,23.00430176,20.78492491,20.78492491,20.78492491,20.78492491,20.78492491,20.78492491,20.78492491,20.78492491,20.78492491,20.78492491,20.78492491,20.78492491,20.78492491,20.78492491,20.78492491,20.78492491,,
Albania,ALB,"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",ER.H2O.FWAG.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.33333333,78.37016899,73.33806482,68.23557439,63.0612105,57.81344378,57.77489418,57.74366288,57.71784656,57.69614928,57.67765807,55.39115433,52.86449565,50.05774918,46.9216092,43.39447577,40.67839235,42.57297193,44.54401256,46.59623826,48.73477038,50.96517032,53.29348774,55.72631541,58.27085155,69.56521739,70.26431718,64.01098901,68.16283925,61.18479222,69.33842239,,
Andorra,AND,"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",ER.H2O.FWAG.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",ER.H2O.FWAG.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.00637776,85.69700385,85.52114036,82.94724066,83.2535775,80.91654204,80.90418115,,
United Arab Emirates,ARE,"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",ER.H2O.FWAG.ZS,,,,,,,,,,,,,,,,,,,,,80,78.10715257,76.50163358,75.1226349,73.92537639,72.87615148,71.94910353,71.12406631,70.3850803,69.71935007,69.11649726,68.56801553,68.0668667,67.6071771,67.18400631,66.79316888,69.78590521,72.3858822,74.66565596,76.6809478,78.47525912,80.08314108,81.53236569,82.84531204,82.84336637,82.84142071,78.94728238,75.22681882,71.66866487,68.26242584,64.99857611,61.86837013,58.86376418,55.97734736,53.20228055,50.53224231,47.96138084,47.38791598,47.7527471,47.25429772,46.49571281,,
Argentina,ARG,"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",ER.H2O.FWAG.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.29741078,74.32061991,73.36884722,72.44114367,71.53660766,70.65438204,71.01563042,71.36175073,71.69367376,72.01225548,72.3182844,72.61248811,72.895539,73.16805947,73.43062644,73.68377543,73.92800424,73.92800424,73.92800424,73.92800424,73.92800424,73.92800424,73.92800424,73.92800424,73.92800424,73.92800424,,
Armenia,ARM,"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",ER.H2O.FWAG.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.32478632,66.27560021,66.21993872,66.156433,66.08329917,65.99816806,65.89279618,65.76670128,65.75217655,65.75801905,65.7557643,65.75875486,66.95005314,64.67811722,61.84229919,58.20292781,67.4733388,71.67630058,77.50888475,74.90820073,81.74311927,80,73.17073171,69.34414149,74.48516579,70.34287734,,
American Samoa,ASM,"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",ER.H2O.FWAG.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",ER.H2O.FWAG.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,19.95262391,19.90918617,19.86921529,19.83231216,19.79813665,19.76639712,19.73684211,19.08023483,18.46590909,17.88990826,17.16549296,16.83937824,16.3590604,15.90538336,15.47619048,15.5088853,15.53846154,15.56534508,15.58988764,15.61238223,15.63307494,15.65217391,15.65217391,15.65217391,15.65217391,15.65217391,15.65217391,15.65217391,15.65217391,15.65217391,,
Australia,AUS,"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",ER.H2O.FWAG.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.4467169,69.48912015,66.95171026,69.85128436,69.73565091,69.618987,69.50127877,69.38251216,69.26267281,68.36149434,67.39490399,66.35551167,65.23477056,62.59364028,59.57407915,56.08847612,52.01991465,53.83321141,55.1139772,59.84768088,65.67753697,63.3583691,54.24120023,65.53727043,69.41419082,70.65830365,66.8328726,62.32283249,,
Austria,AUT,"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",ER.H2O.FWAG.ZS,,,,,,,,,,,,,,,,,,,,,2.692837053,3.304107714,3.898476685,4.476635407,5.039238113,5.586904296,4.96516112,4.358817889,3.767309441,3.190097936,2.62667122,2.677017802,2.729332132,2.783731871,2.84034425,2.899307066,2.819601872,2.744161796,2.735333072,2.726504349,2.748553192,2.770961554,2.793738301,2.738467165,2.682180676,2.624850596,2.56644763,2.506941377,2.446300275,2.325226362,2.207840554,2.207840554,2.207840554,2.207840554,2.207840554,2.207840554,2.207840554,2.207840554,2.207840554,2.207840554,2.207840554,,
