Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Aruba,ABW,"Annual freshwater withdrawals, total (billion cubic meters)",ER.H2O.FWTL.K3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,"Annual freshwater withdrawals, total (billion cubic meters)",ER.H2O.FWTL.K3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.10642018,37.29008755,39.20855492,39.37335563,41.95388025,43.10539028,43.83918699,44.58678369,45.33438039,46.09807709,47.35863501,48.72267179,55.65864364,57.02385235,58.20599775,59.34599315,59.90622414,60.42380057,61.23432928,61.72825875,62.3619689,62.79661834,90.89773937,90.20676039,92.68993527,95.15636014,96.65927859,96.93095039,97.64020385,98.03707565,98.37750325,,
Afghanistan,AFG,"Annual freshwater withdrawals, total (billion cubic meters)",ER.H2O.FWTL.K3,,,,,,,,,,,,,,,,10.7,11.98425833,13.26851667,14.552775,15.83703333,17.12129167,18.40555,19.68980833,20.97406667,22.258325,23.54258333,24.82684167,26.1111,25.58118182,25.05126364,24.52134545,23.99047343,23.46031678,22.93016014,22.4000035,21.86984685,21.33969021,20.80953357,20.282,20.282,20.282,20.282,20.282,20.282,20.282,20.282,20.282,20.282,20.282,20.282,20.282,20.282,20.282,20.282,20.282,20.282,20.282,20.282,20.282,20.282,20.282,,
Africa Western and Central,AFW,"Annual freshwater withdrawals, total (billion cubic meters)",ER.H2O.FWTL.K3,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.8414798,15.16596617,16.01936113,16.86752532,17.63999618,18.42754704,19.34870234,20.26985764,21.17927467,22.08873015,22.95284538,23.90410933,24.78251858,25.65923099,26.61671238,27.34649198,27.76066869,28.17484539,28.65702209,28.94188276,29.20501478,29.46948215,29.73405525,29.99862834,30.08600144,30.17589675,30.25500874,30.33532072,30.66419937,30.74137802,30.61478783,32.040511,32.2281078,32.2281078,,
Angola,AGO,"Annual freshwater withdrawals, total (billion cubic meters)",ER.H2O.FWTL.K3,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.48,0.4923384615,0.5046769231,0.5170153846,0.5293538462,0.5416923077,0.5540307692,0.5663692308,0.5787076923,0.5910461538,0.6033846154,0.6157230769,0.6280615385,0.6404,0.65346,0.66652,0.67958,0.69264,0.7057,0.7057,0.7057,0.7057,0.7057,0.7057,0.7057,0.7057,0.7057,0.7057,0.7057,0.7057,0.7057,0.7057,0.7057,0.7057,,
Albania,ALB,"Annual freshwater withdrawals, total (billion cubic meters)",ER.H2O.FWTL.K3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2,1.19178,1.18356,1.17534,1.16712,1.1589,1.29468,1.43046,1.56624,1.70202,1.8378,1.75046,1.66312,1.57578,1.48844,1.4011,1.27242,1.24774,1.22306,1.19838,1.1737,1.14902,1.12434,1.09966,1.07498,0.92,1.092,1.091,0.958,1.131,0.786,,
Andorra,AND,"Annual freshwater withdrawals, total (billion cubic meters)",ER.H2O.FWTL.K3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"Annual freshwater withdrawals, total (billion cubic meters)",ER.H2O.FWTL.K3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207.959755,204.8266455,208.1287,230.5277,221.80422,244.85724,244.88904,,
United Arab Emirates,ARE,"Annual freshwater withdrawals, total (billion cubic meters)",ER.H2O.FWTL.K3,,,,,,,,,,,,,,,,,,,,,0.9,0.9805333333,1.061066667,1.1416,1.222133333,1.302666667,1.3832,1.463733333,1.544266667,1.6248,1.542333333,1.578466667,1.6146,1.650733333,1.686866667,1.723,1.88222,2.04144,2.20066,2.35988,2.3338,2.291893333,2.249986667,2.20808,2.50404,2.8,2.774454546,2.748909091,2.723363636,2.697818182,2.672272727,2.646727273,2.621181818,2.595636364,2.570090909,2.544545455,2.519,2.445,2.501,2.443,2.381,,
Argentina,ARG,"Annual freshwater withdrawals, total (billion cubic meters)",ER.H2O.FWTL.K3,,,,,,,,,,,,,,,,,27.6,27.65154211,27.70308421,27.75462632,27.80616842,27.85771053,27.90925263,27.96079474,28.01263158,28.06387895,28.11578947,28.16696316,28.21850526,28.27052632,28.32140526,28.37313158,28.42467368,28.47621579,28.52775789,28.5793,28.936785,29.29427,29.651755,30.00924,30.366725,31.03232273,31.69792045,32.36351818,33.02911591,33.69471364,34.36031136,35.02590909,35.69150682,36.35710455,37.02270227,37.69,37.69,37.69,37.69,37.69,37.69,37.69,37.69,37.69,37.69,,
